array,Year,Julian Day,Time,Logger Battery Voltage,Net Radiometer,Incoming Shortwave Radiation,Reflected Shortwave Radiation,Relative Humidity,Ambient Air Temperature,Barometric Pressure,Wind Direction,Wind Speed,Wind Speed at Rain Gauge,Precipitation (Tipping Bucket),Belfort Rain Gauge,Sonic Range Sensor for Snow Depth,Shallow Soil Temperature,Medium Depth Soil Temperature,Deep Soil Temperature,Shallow Soil Moisture,Medium Depth Soil Moisture,Deep Soil Moisture,Spare One,Spare Two,Spare Three
111,1998,58,15,13,-3.076,-2.5,0,61.36,2.046,101.4,107.9,2.639,2.217,9,12.1,-0.037,-0.182,-0.054,0.309,0.665,0.25,0.446,,,
111,1998,58,30,12.99,-3.08,-2.5,-0.629,61.69,1.972,101.4,109.9,2.082,1.647,9,12.1,-0.033,-0.18,-0.057,0.308,0.664,0.25,0.446,,,
111,1998,58,45,12.99,-3.085,-2.5,0,62.97,1.822,101.4,97.5,1.986,1.491,9,12.1,-0.034,-0.18,-0.056,0.308,0.664,0.251,0.446,,,
111,1998,58,100,12.98,-3.089,-2.5,0,62.5,1.699,101.4,91.7,2.513,1.975,9,12.1,-0.033,-0.181,-0.058,0.31,0.664,0.251,0.446,,,
111,1998,58,115,12.98,-3.094,-2.5,0,63.37,1.737,101.3,92.5,3,2.501,9,12.1,-0.034,-0.18,-0.057,0.308,0.664,0.251,0.446,,,
111,1998,58,130,12.97,-3.097,-2.5,0,65.99,1.371,101.3,95.5,2.406,1.848,9,12.1,-0.033,-0.18,-0.056,0.308,0.663,0.251,0.446,,,
111,1998,58,145,12.97,-3.1,-2.5,0,67.2,1.436,101.3,94.9,2.722,2.252,9,12.1,-0.035,-0.18,-0.057,0.309,0.663,0.251,0.446,,,
111,1998,58,200,12.96,-3.102,-1.875,0,65.39,1.531,101.3,92.9,2.956,2.437,9,12.1,-0.033,-0.183,-0.056,0.307,0.663,0.251,0.446,,,
111,1998,58,215,12.96,-3.104,-2.5,0,65.73,1.559,101.3,97.7,3.148,2.68,9,12.1,-0.033,-0.181,-0.059,0.309,0.662,0.251,0.446,,,
111,1998,58,230,12.95,-3.105,-2.5,0,65.12,1.549,101.3,99.9,3.613,3.109,9,12.1,-0.033,-0.182,-0.058,0.307,0.662,0.252,0.446,,,
111,1998,58,245,12.95,-3.106,-2.5,0,63.84,1.671,101.3,103.3,3.737,3.271,9,12.1,-0.034,-0.181,-0.056,0.306,0.662,0.252,0.446,,,
111,1998,58,300,12.94,-3.106,-2.5,0,64.25,1.541,101.2,103,3.999,3.427,9,12.1,-0.034,-0.182,-0.058,0.308,0.661,0.252,0.446,,,
111,1998,58,315,12.94,-3.104,-1.875,0,62.77,1.606,101.2,104.9,3.977,3.491,9,12.1,-0.034,-0.18,-0.058,0.306,0.661,0.252,0.446,,,
111,1998,58,330,12.93,-3.104,-1.25,0,62.03,1.465,101.2,102,4.031,3.523,9,12.1,-0.034,-0.179,-0.057,0.308,0.661,0.252,0.446,,,
111,1998,58,345,12.92,-3.102,-1.25,0,61.09,1.644,101.2,100.8,4.485,3.92,9,12.1,-0.033,-0.182,-0.054,0.308,0.66,0.252,0.446,,,
111,1998,58,400,12.92,-3.098,-1.25,0,59.88,1.831,101.2,104.9,4.114,3.677,9,12.1,-0.033,-0.181,-0.058,0.307,0.66,0.252,0.446,,,
